epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,3079.51,0.87405,0.35512,1.30398,0.05035,0.95251,0.98957,0.97883,0.7194,0.93671,0.37448,1.34864,0.05622,0.0012872,0.0012872,0.0012872
38,3160.51,0.87953,0.3595,1.3057,0.05109,0.93582,0.98905,0.95729,0.69391,0.98922,0.42204,1.37569,0.05887,0.0012674,0.0012674,0.0012674
39,3246.25,0.87376,0.35043,1.30477,0.05053,0.94967,0.98853,0.97253,0.71522,0.94444,0.38983,1.36309,0.05666,0.0012476,0.0012476,0.0012476
40,3329.7,0.87241,0.34813,1.30374,0.05013,0.94676,0.99149,0.97503,0.71889,0.93956,0.38192,1.34505,0.05672,0.0012278,0.0012278,0.0012278
41,3408.89,0.86706,0.34815,1.29823,0.05042,0.94543,0.99079,0.97028,0.71194,0.92902,0.39529,1.34688,0.05668,0.001208,0.001208,0.001208
42,3494.13,0.86326,0.34436,1.29177,0.04976,0.95635,0.9783,0.97525,0.71862,0.92455,0.37838,1.34222,0.05626,0.0011882,0.0011882,0.0011882
43,3578.85,0.8651,0.34957,1.29197,0.05005,0.95073,0.98567,0.9752,0.71533,0.94863,0.39162,1.34662,0.05711,0.0011684,0.0011684,0.0011684
44,3658.48,0.86242,0.34308,1.2875,0.04955,0.95606,0.983,0.97751,0.7119,0.95144,0.38145,1.36379,0.05691,0.0011486,0.0011486,0.0011486
45,3741.04,0.86405,0.33995,1.29927,0.04935,0.94839,0.98658,0.97983,0.71573,0.93656,0.38297,1.34367,0.05631,0.0011288,0.0011288,0.0011288
46,3826.18,0.85722,0.34126,1.2859,0.0496,0.95791,0.98401,0.9739,0.71297,0.95178,0.37316,1.3537,0.05843,0.001109,0.001109,0.001109
47,3908,0.85517,0.33854,1.28575,0.04956,0.95129,0.9875,0.97787,0.71528,0.93326,0.37695,1.34522,0.05735,0.0010892,0.0010892,0.0010892
48,3988.49,0.85386,0.33974,1.28036,0.04909,0.94792,0.98996,0.97063,0.71764,0.93228,0.38359,1.33879,0.05649,0.0010694,0.0010694,0.0010694
49,4073.48,0.84831,0.3371,1.27901,0.04861,0.94992,0.98679,0.97799,0.7164,0.92484,0.37903,1.35262,0.05658,0.0010496,0.0010496,0.0010496
50,4154.95,0.85897,0.33601,1.28626,0.04896,0.95309,0.98495,0.97509,0.70966,0.96433,0.38508,1.36421,0.05814,0.0010298,0.0010298,0.0010298
51,4234.95,0.84182,0.33696,1.26989,0.04819,0.95459,0.97904,0.97329,0.70556,0.96289,0.39267,1.36976,0.05712,0.00101,0.00101,0.00101
52,4320.89,0.83458,0.32556,1.2639,0.04725,0.94383,0.9928,0.96722,0.70816,0.93545,0.39133,1.35194,0.05617,0.0009902,0.0009902,0.0009902
53,4401.96,0.82722,0.3273,1.25724,0.04736,0.95061,0.98871,0.97743,0.7131,0.95468,0.37352,1.36535,0.05801,0.0009704,0.0009704,0.0009704
