epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,143.672,0.83068,0.65887,1.50358,0.74666,0.99753,0.80797,0.63157,0.80218,0.71737,1.63466,0.0011882,0.0011882,0.0011882
43,146.033,0.81891,0.65151,1.50673,0.74091,1,0.83166,0.64557,0.8134,0.71402,1.68626,0.0011684,0.0011684,0.0011684
44,148.557,0.84102,0.67967,1.52195,0.73761,1,0.81549,0.62594,0.83104,0.74525,1.71226,0.0011486,0.0011486,0.0011486
45,151.996,0.83468,0.67947,1.5629,0.73761,1,0.81549,0.62594,0.83104,0.74525,1.71226,0.0011288,0.0011288,0.0011288
46,155.053,0.80078,0.66398,1.53496,0.73405,0.99787,0.80645,0.62971,0.80365,0.75877,1.65432,0.001109,0.001109,0.001109
47,157.315,0.81471,0.67562,1.55332,0.74915,0.99231,0.80561,0.62171,0.85958,0.72869,1.66953,0.0010892,0.0010892,0.0010892
48,159.669,0.83607,0.66727,1.53606,0.74902,0.99231,0.8023,0.61856,0.84583,0.70759,1.62104,0.0010694,0.0010694,0.0010694
49,162.526,0.8568,0.66918,1.48267,0.74902,0.99231,0.8023,0.61856,0.84583,0.70759,1.62104,0.0010496,0.0010496,0.0010496
50,165.617,0.78803,0.65309,1.49228,0.74856,0.99231,0.79814,0.62938,0.78545,0.69933,1.59749,0.0010298,0.0010298,0.0010298
51,168.432,0.78601,0.63234,1.46096,0.74604,1,0.80048,0.63107,0.78835,0.70525,1.61117,0.00101,0.00101,0.00101
52,170.995,0.78073,0.64785,1.49501,0.74837,0.99231,0.806,0.62221,0.83256,0.70818,1.61385,0.0009902,0.0009902,0.0009902
53,173.178,0.80687,0.62112,1.45332,0.74837,0.99231,0.806,0.62221,0.83256,0.70818,1.61385,0.0009704,0.0009704,0.0009704
54,175.61,0.79939,0.65201,1.47105,0.74834,1,0.81143,0.62284,0.84247,0.69434,1.62108,0.0009506,0.0009506,0.0009506
55,178.302,0.795,0.63492,1.46786,0.75134,0.99947,0.81969,0.62908,0.85329,0.72136,1.5882,0.0009308,0.0009308,0.0009308
56,181.711,0.7882,0.6495,1.43523,0.75058,0.99231,0.80946,0.62569,0.8341,0.71428,1.60386,0.000911,0.000911,0.000911
57,184.297,0.77212,0.62917,1.47116,0.75058,0.99231,0.80946,0.62569,0.8341,0.71428,1.60386,0.0008912,0.0008912,0.0008912
58,187.141,0.7708,0.62085,1.46492,0.75193,0.99231,0.80517,0.62752,0.81092,0.70596,1.55926,0.0008714,0.0008714,0.0008714
59,189.473,0.78619,0.64033,1.47785,0.75132,0.99933,0.7984,0.61005,0.86742,0.70746,1.6242,0.0008516,0.0008516,0.0008516
60,191.957,0.77998,0.6344,1.44008,0.75062,1,0.79457,0.61488,0.86873,0.70026,1.65148,0.0008318,0.0008318,0.0008318
61,195.252,0.76685,0.61733,1.446,0.75062,1,0.79457,0.61488,0.86873,0.70026,1.65148,0.000812,0.000812,0.000812
62,197.743,0.77305,0.63693,1.46317,0.75402,1,0.79242,0.62373,0.81347,0.68425,1.6849,0.0007922,0.0007922,0.0007922
63,200.312,0.75987,0.61476,1.47141,0.7536,1,0.79844,0.62832,0.81721,0.68369,1.69888,0.0007724,0.0007724,0.0007724
64,202.949,0.77249,0.62191,1.41795,0.75131,0.99231,0.79673,0.63141,0.80579,0.69236,1.65234,0.0007526,0.0007526,0.0007526
65,205.453,0.77228,0.62747,1.43986,0.75131,0.99231,0.79673,0.63141,0.80579,0.69236,1.65234,0.0007328,0.0007328,0.0007328
66,208.664,0.74355,0.6126,1.4442,0.75308,1,0.80533,0.63605,0.81492,0.6961,1.65051,0.000713,0.000713,0.000713
67,211.66,0.75344,0.59721,1.41195,0.74935,1,0.80058,0.63159,0.81211,0.69718,1.66318,0.0006932,0.0006932,0.0006932
68,214.13,0.73526,0.59184,1.391,0.74854,1,0.79628,0.61982,0.81033,0.70445,1.68141,0.0006734,0.0006734,0.0006734
69,216.363,0.72619,0.60341,1.41428,0.74854,1,0.79628,0.61982,0.81033,0.70445,1.68141,0.0006536,0.0006536,0.0006536
70,218.794,0.74086,0.61427,1.41141,0.75233,1,0.79409,0.61465,0.82564,0.70394,1.66507,0.0006338,0.0006338,0.0006338
71,221.769,0.73489,0.59408,1.41095,0.75548,0.99822,0.80396,0.6293,0.81687,0.68389,1.64114,0.000614,0.000614,0.000614
72,225.037,0.75881,0.58647,1.43403,0.75462,1,0.81184,0.63611,0.79532,0.68402,1.6302,0.0005942,0.0005942,0.0005942
73,227.55,0.73671,0.58407,1.41583,0.75462,1,0.81184,0.63611,0.79532,0.68402,1.6302,0.0005744,0.0005744,0.0005744
74,229.946,0.75638,0.60094,1.37791,0.75146,0.99231,0.80705,0.64063,0.79496,0.6987,1.63353,0.0005546,0.0005546,0.0005546
75,232.367,0.72315,0.59339,1.4498,0.74832,1,0.79938,0.6186,0.83794,0.71333,1.6928,0.0005348,0.0005348,0.0005348
76,234.966,0.72088,0.5907,1.43131,0.75109,1,0.80232,0.61753,0.86057,0.70787,1.72993,0.000515,0.000515,0.000515
77,238.763,0.72715,0.58469,1.34741,0.75109,1,0.80232,0.61753,0.86057,0.70787,1.72993,0.0004952,0.0004952,0.0004952
78,241.209,0.71514,0.58298,1.38994,0.75079,1,0.81269,0.63574,0.82731,0.68364,1.69086,0.0004754,0.0004754,0.0004754
79,243.685,0.73242,0.58512,1.37636,0.73847,0.99913,0.82264,0.65061,0.79565,0.67074,1.64781,0.0004556,0.0004556,0.0004556
80,246.066,0.72123,0.58884,1.39529,0.74263,0.99882,0.82624,0.65474,0.79507,0.66536,1.63518,0.0004358,0.0004358,0.0004358
81,248.382,0.72678,0.5717,1.39087,0.74263,0.99882,0.82624,0.65474,0.79507,0.66536,1.63518,0.000416,0.000416,0.000416
82,251.694,0.70918,0.57241,1.36706,0.7531,0.99231,0.82268,0.64172,0.80443,0.66097,1.6457,0.0003962,0.0003962,0.0003962
83,254.629,0.71985,0.57126,1.40282,0.75272,0.99231,0.82703,0.64281,0.82869,0.6583,1.69097,0.0003764,0.0003764,0.0003764
84,256.843,0.72698,0.57749,1.37899,0.75207,0.99231,0.82874,0.64536,0.82678,0.66377,1.69984,0.0003566,0.0003566,0.0003566
85,259.075,0.70443,0.58015,1.37209,0.75207,0.99231,0.82874,0.64536,0.82678,0.66377,1.69984,0.0003368,0.0003368,0.0003368
86,261.773,0.7159,0.56741,1.38165,0.74426,0.99231,0.81385,0.63344,0.80728,0.66905,1.70005,0.000317,0.000317,0.000317
87,264.639,0.72257,0.57172,1.37133,0.74505,0.99231,0.81323,0.63607,0.78668,0.68193,1.69537,0.0002972,0.0002972,0.0002972
88,267.533,0.69562,0.56346,1.37763,0.74631,1,0.8109,0.63504,0.77656,0.69079,1.69065,0.0002774,0.0002774,0.0002774
89,270.07,0.7146,0.56384,1.39718,0.74631,1,0.8109,0.63504,0.77656,0.69079,1.69065,0.0002576,0.0002576,0.0002576
90,272.526,0.71634,0.55902,1.37196,0.74628,1,0.80585,0.63926,0.77653,0.6932,1.67571,0.0002378,0.0002378,0.0002378
91,278.091,0.66098,0.61893,1.39395,0.74646,1,0.80592,0.63834,0.79486,0.69255,1.66891,0.000218,0.000218,0.000218
92,283.459,0.69341,0.64169,1.39576,0.74205,1,0.80318,0.63424,0.82227,0.69367,1.66588,0.0001982,0.0001982,0.0001982
93,287.574,0.66466,0.5817,1.36035,0.74205,1,0.80318,0.63424,0.82227,0.69367,1.66588,0.0001784,0.0001784,0.0001784
94,291.576,0.68212,0.59212,1.3496,0.74046,0.99231,0.8094,0.6301,0.84335,0.69626,1.67633,0.0001586,0.0001586,0.0001586
95,296.893,0.6538,0.55868,1.34114,0.74146,1,0.80901,0.62125,0.85508,0.70322,1.68767,0.0001388,0.0001388,0.0001388
96,300.525,0.65911,0.56291,1.32999,0.74533,1,0.81124,0.62687,0.85166,0.7132,1.68822,0.000119,0.000119,0.000119
97,302.788,0.69795,0.57549,1.31112,0.74533,1,0.81124,0.62687,0.85166,0.7132,1.68822,9.92e-05,9.92e-05,9.92e-05
98,304.887,0.68152,0.55902,1.29176,0.74204,1,0.8089,0.62793,0.8381,0.71814,1.67946,7.94e-05,7.94e-05,7.94e-05
99,307.493,0.65402,0.56218,1.34446,0.7424,1,0.8088,0.6274,0.82399,0.71609,1.68036,5.96e-05,5.96e-05,5.96e-05
100,310.221,0.64217,0.54717,1.28345,0.74375,0.99231,0.80958,0.63308,0.81346,0.71275,1.68004,3.98e-05,3.98e-05,3.98e-05
